A01A	STOMATOLOGICAL PREPARATIONS	"metronidazole,minocycline,dexamethasone"	"A01AC02,A01AB23,A01AB17"
J01A	TETRACYCLINES	minocycline	J01AA08
J01C	BETA-LACTAM ANTIBACTERIALS	"flucloxacillin,dicloxacillin"	"J01CF05,J01CF01"
J01D	OTHER BETA-LACTAM ANTIBACTERIALS	"ceftriaxone,cefotaxime"	"J01DD04,J01DD01"
J01E	SULFONAMIDES AND TRIMETHOPRIM	sulfamethoxazole	J01EC01
J01F	MACROLIDES	"clindamycin,erythromycin"	"J01FA01,J01FF01"
J01G	AMINOGLYCOSIDE ANTIBACTERIALS	"gentamicin,streptomycin"	"J01GA01,J01GB03"
J01X	OTHER ANTIBACTERIALS	"metronidazole,daptomycin"	"J01XD01,J01XX09"
J02A	ANTIMYCOTICS FOR SYSTEMIC USE	voriconazole	J02AC03
J04A	DRUGS FOR TREATMENT OF TUBERCULOSIS	"ethambutol,isoniazid,pyrazinamide"	"J04AC01,J04AK01,J04AK02"
J05A	DIRECT ACTING ANTIVIRALS	"atazanavir,abacavir,nelfinavir,nevirapine,stavudine,dolutegravir,efavirenz,letermovir,didanosine,zidovudine,sofosbuvir,boceprevir,oseltamivir,amprenavir,lamivudine,ritonavir,valganciclovir,ribavirin,indinavir,daclatasvir,faldaprevir,telaprevir,etravirine"	"J05AP02,J05AF06,J05AF02,J05AJ03,J05AF04,J05AE04,J05AP07,J05AH02,J05AE05,J05AP03,J05AP01,J05AG03,J05AE08,J05AF05,J05AB14,J05AE02,J05AP08,J05AF01,J05AG04,J05AG01,J05AX18,J05AP04,J05AE03"
L01A	ALKYLATING AGENTS	"busulfan,thiotepa,melphalan,temozolomide,cyclophosphamide"	"L01AA01,L01AA03,L01AB01,L01AC01,L01AX03"
L01B	ANTIMETABOLITES	"gemcitabine,cytarabine,pemetrexed,tegafur,cladribine,fluorouracil,mercaptopurine,capecitabine,fludarabine,methotrexate,thioguanine"	"L01BC02,L01BC01,L01BB05,L01BC05,L01BB02,L01BC03,L01BC06,L01BA01,L01BB04,L01BA04,L01BB03"
L01C	PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS	"irinotecan,paclitaxel,topotecan,etoposide,vindesine,docetaxel,vincristine,vinorelbine"	"L01CD01,L01CA04,L01CE02,L01CA02,L01CD02,L01CB01,L01CE01,L01CA03"
L01D	CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES	"idarubicin,bleomycin,mitoxantrone,daunorubicin,epirubicin,doxorubicin"	"L01DB01,L01DB02,L01DB07,L01DB03,L01DC01,L01DB06"
L01E	PROTEIN KINASE INHIBITORS	"sorafenib,dasatinib,erlotinib,gefitinib,pazopanib,everolimus,temsirolimus,axitinib,sunitinib,nilotinib,imatinib"	"L01EG02,L01EA02,L01EG01,L01EX03,L01EA01,L01EA03,L01EB01,L01EB02,L01EX01,L01EK01,L01EX02"
L01X	OTHER ANTINEOPLASTIC AGENTS	"bortezomib,cisplatin,gemtuzumab ozogamicin,asparaginase,panitumumab,trastuzumab,celecoxib,pegaspargase,mitotane,carboplatin,oxaliplatin,rituximab,cetuximab,bevacizumab,atrasentan"	"L01XX24,L01XA03,L01XC08,L01XG01,L01XC06,L01XC05,L01XC02,L01XX23,L01XC07,L01XC03,L01XA02,L01XA01,L01XX33,L01XX02,L01XX02AA"
L02A	HORMONES AND RELATED AGENTS	medroxyprogesterone	L02AB02
L02B	HORMONE ANTAGONISTS AND RELATED AGENTS	"letrozole,anastrozole,exemestane,tamoxifen"	"L02BG06,L02BG03,L02BG04,L02BA01"
L03A	IMMUNOSTIMULANTS	peginterferon alfa-2a	L03AB11
L04A	IMMUNOSUPPRESSANTS	"lenalidomide,tacrolimus,sirolimus,etanercept,adalimumab,azathioprine,mycophenolic acid,cladribine,thalidomide,infliximab,certolizumab pegol,ustekinumab,eculizumab,dimethyl fumarate,leflunomide,everolimus,siponimod,tocilizumab,methotrexate,cyclosporine"	"L04AB02,L04AB04,L04AA25,L04AA10,L04AX04,L04AB05,L04AB01,L04AX02,L04AA40,L04AC07,L04AA18,L04AC05,L04AX03,L04AA42,L04AA06,L04AX07,L04AD02,L04AX01,L04AA13,L04AD01AA"
M01A	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	"meloxicam,celecoxib,diclofenac,piroxicam,ibuprofen,sulindac,flurbiprofen,ketoprofen,ketorolac,tenoxicam,lornoxicam"	"M01AB15,M01AE01,M01AB02,M01AC01,M01AE09,M01AC06,M01AE03,M01AH01,M01AB05,M01AC02,M01AC05"
M02A	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	"diclofenac,piroxicam,ibuprofen,flurbiprofen,ketoprofen"	"M02AA15,M02AA07,M02AA13,M02AA19,M02AA10"
M04A	ANTIGOUT PREPARATIONS	"allopurinol,febuxostat"	"M04AA01,M04AA03"
M05B	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION	etidronic acid	M05BA01
M09A	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM	ataluren	M09AX03
N01A	ANESTHETICS	"nitrous oxide,sufentanil,desflurane,propofol,sevoflurane,halothane,isoflurane,alfentanil,remifentanil,fentanyl,enflurane"	"N01AH06,N01AX10,N01AH01,N01AB08,N01AH03,N01AX13,N01AB07,N01AB06,N01AB04,N01AB01"
N02A	OPIOIDS	"butorphanol,oxycodone,morphine,buprenorphine,dihydrocodeine,tapentadol,tramadol"	"N02AX06,N02AE01,N02AA05,N02AB03,N02AA08,N02AF01,N02AA01,N02AX02"
N02B	OTHER ANALGESICS AND ANTIPYRETICS	"salicylamide,methoxyflurane,dipyrone,acetaminophen"	"N02BA05,N02BG09,N02BB02,N02BE01"
N02C	ANTIMIGRAINE PREPARATIONS	"sumatriptan,clonidine"	"N02CC01,N02CX02"
N03A	ANTIEPILEPTICS	"gabapentin,phenobarbital,valproic acid,topiramate,mephenytoin,phenytoin,lamotrigine,pregabalin,zonisamide,carbamazepine,oxcarbazepine"	"N03AA02,N03AX12,N03AG01,N03AB04,N03AX15,N03AF01,N03AF02,N03AX09,N03AB02,N03AX16,N03AX11"
N04B	DOPAMINERGIC AGENTS	"entacapone,levodopa,pramipexole,rasagiline"	"N04BX02,N04BC05,N04BA01,N04BD02"
N05A	ANTIPSYCHOTICS	"risperidone,perphenazine,thioridazine,zuclopenthixol,aripiprazole,chlorpromazine,haloperidol,olanzapine,ziprasidone,paliperidone,amisulpride,lithium,iloperidone,fluphenazine,trifluoperazine,clozapine,quetiapine,lurasidone,prochlorperazine"	"N05AX13,N05AX14,N05AF05,N05AA01,N05AE04,N05AH03,N05AH02,N05AH04,N05AB02,N05AB03,N05AX08,N05AX12,N05AD01,N05AL05,N05AB04,N05AB06,N05AE05,N05AC02,N05AN01"
N05B	ANXIOLYTICS	"alprazolam,clobazam,diazepam"	"N05BA01,N05BA09,N05BA12"
