PA164745442	penicillin v	Penicillin V	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Antibacterial drugs	Antiinfectives for systemic use	Antibacterial drugs	J01CE02	NA	J01C	BETA-LACTAM ANTIBACTERIALS
PA448883	cephalexin	Cephalexin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Antibacterial drugs	Antiinfectives for systemic use	Antibacterial drugs	J01DB01	NA	J01D	OTHER BETA-LACTAM ANTIBACTERIALS
PA164744372	amikacin	Amikacin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Antibiotics	ANTIBACTERIALS FOR SYSTEMIC USE	Antibiotics	J01GB06	NA	J01G	AMINOGLYCOSIDE ANTIBACTERIALS
PA166241781	isepamicin	Isepamicin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Other aminoglycosides	ANTIINFECTIVES FOR SYSTEMIC USE	Other aminoglycosides	J01GB11	NA	J01G	AMINOGLYCOSIDE ANTIBACTERIALS
PA450608	neomycin	Neomycin	A	ANTIINFECTIVES FOR SYSTEMIC USE	A01A	Other aminoglycosides	ANTIINFECTIVES FOR SYSTEMIC USE	Other aminoglycosides	J01GB05	NA	J01G	AMINOGLYCOSIDE ANTIBACTERIALS
PA451704	tobramycin	Tobramycin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Antibiotics	ANTIBACTERIALS FOR SYSTEMIC USE	Antibiotics	J01GB01	NA	J01G	AMINOGLYCOSIDE ANTIBACTERIALS
PA450137	kanamycin	Kanamycin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Antibiotics	ANTIBACTERIALS FOR SYSTEMIC USE	Antibiotics	J01GB04	NA	J01X	OTHER ANTIBACTERIALS
PA449009	ciprofloxacin	Ciprofloxacin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Fluoroquinolones	ANTIINFECTIVES FOR SYSTEMIC USE	Fluoroquinolones	J01MA02	NA	J01X	OTHER ANTIBACTERIALS
PA448927	chloramphenicol	Chloramphenicol	D	ANTIINFECTIVES FOR SYSTEMIC USE	D06	Amphenicols	ANTIINFECTIVES FOR SYSTEMIC USE	Amphenicols	J01BA01	NA	J01X	OTHER ANTIBACTERIALS
PA450640	nitrofurantoin	Nitrofurantoin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Nitrofuran derivatives	ANTIINFECTIVES FOR SYSTEMIC USE	Nitrofuran derivatives	J01XE01	NA	J01X	OTHER ANTIBACTERIALS
PA451850	vancomycin	Vancomycin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J01	Antibiotics	ANTIBACTERIALS FOR SYSTEMIC USE	Antibiotics	J01XA01	NA	J01X	OTHER ANTIBACTERIALS
PA451250	rifampin	Rifampin	J	ANTIINFECTIVES FOR SYSTEMIC USE	J04	Antimycobacterials	Antiinfectives for systemic use	Antimycobacterials	J04AB02	NA	J04A	DRUGS FOR TREATMENT OF TUBERCULOSIS
PA164768835	maraviroc	Maraviroc	J	ANTIINFECTIVES FOR SYSTEMIC USE	J05	Antiviral drugs	Antiinfectives for systemic use	Antiviral drugs	J05AX09	NA	J05A	DIRECT ACTING ANTIVIRALS
PA166122590	simeprevir	Simeprevir	J	ANTIINFECTIVES FOR SYSTEMIC USE	J05	Antivirals for treatment of HCV infections	ANTIINFECTIVES FOR SYSTEMIC USE	Antivirals for treatment of HCV infections	J05AP05	NA	J05A	DIRECT ACTING ANTIVIRALS
PA10204	tenofovir	Tenofovir	J	ANTIINFECTIVES FOR SYSTEMIC USE	J05	Antiviral drugs	Antiinfectives for systemic use	Antiviral drugs	J05AF07	NA	J05A	DIRECT ACTING ANTIVIRALS
PA448926	chlorambucil	Chlorambucil	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Nitrogen mustard analogues	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Nitrogen mustard analogues	L01AA02	NA	L01A	ALKYLATING AGENTS
PA449197	dacarbazine	Dacarbazine	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Antineoplastic drugs	Antineoplastic and immunomodulating agents	Antineoplastic drugs	L01AX04	NA	L01A	ALKYLATING AGENTS
PA131625240	raltitrexed	Raltitrexed	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Antineoplastic drugs	Antineoplastic and immunomodulating agents	Antineoplastic drugs	L01BA03	NA	L01B	ANTIMETABOLITES
PA166115442	tegafur / gimeracil	Tegafur / Gimeracil	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Antineoplastic drugs	Antineoplastic and immunomodulating agents	Antineoplastic drugs	L01BC53	NA	L01B	ANTIMETABOLITES
PA451877	vinblastine	Vinblastine	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Antineoplastic drugs	Antineoplastic and immunomodulating agents	Antineoplastic drugs	L01CA01	NA	L01C	PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
PA152241907	lapatinib	Lapatinib	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors	L01EH01	NA	L01E	PROTEIN KINASE INHIBITORS
PA166114943	regorafenib	Regorafenib	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Other protein kinase inhibitors	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Other protein kinase inhibitors	L01EX05	NA	L01E	PROTEIN KINASE INHIBITORS
PA164749431	gemtuzumab	Gemtuzumab	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Monoclonal antibodies	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	Monoclonal antibodies	L01XC05	NA	L01X	OTHER ANTINEOPLASTIC AGENTS
PA449942	hydroxyurea	Hydroxyurea	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS	L01	Antineoplastic drugs	Antineoplastic and immunomodulating agents	Antineoplastic drugs	L01XX05	NA	L01X	OTHER ANTINEOPLASTIC AGENTS
